svc_category,svc_desc,min_f2f_time,max_f2f_time,Phys,PA,NP,RN,PharmD,MA,Educ,Psych,LCSW,CMHC,MFT,,,
Immunization,Polio,3,3,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Immunization,Rotavirus,3,3,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Immunization,Td/Tdap,3,3,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Immunization,Tdap,3,3,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Immunization,VAR,3,3,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Lab,Anemia Screening,2,2,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Lab,Bacteriuria Screening,5,5,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Lab,Cervical Cancer Screening,5,5,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Lab,Chlamydia Screening,1,1,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Lab,Dyslipidemia Screening,1,1,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Lab,Gonorrhea Screening,1,1,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Lab,Hepatitis B Screening,5,5,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Lab,Hepititis C Screening,1,1,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Lab,HIV Screening,2,2,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Lab,Lab,5,5,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Lab,Lead Screening,2,2,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Lab,Newborn Bilirubin,0,0,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Lab,Newborn Blood,0,0,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Lab,Orders,2,2,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Lab,Results Consultation,2,5,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Lab,Results Consultation: CHD Risk Assessment; A1c; Microalbuminuria,5,5,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Lab,STI Screening,0,0,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,NA,,,
Lab,Syphillis Screening,5,5,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Lab,TB* Screening,1,1,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Measurements,BMI,0,0,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Measurements,BP,1,3,0.50,0.50,0.50,0.50,NA,0.50,NA,NA,NA,NA,NA,,,
Measurements,head circumference,1,1,0.50,0.50,0.50,0.50,NA,0.50,NA,NA,NA,NA,NA,,,
Measurements,length/height & weight,1,1,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Measurements,Temp,1,2,0.50,0.50,0.50,0.50,NA,0.50,NA,NA,NA,NA,NA,,,
Measurements,Weight,2,2,0.50,0.50,0.50,0.50,NA,0.50,NA,NA,NA,NA,NA,,,
Oral Health,Fluoride Supplementation,1,1,0.50,0.50,0.50,0.50,NA,0.50,NA,NA,NA,NA,NA,,,
Oral Health,Fluoride Varnish,1,1,0.50,0.50,0.50,0.50,NA,0.50,NA,NA,NA,NA,NA,,,
Oral Health,Identify Dental Home,1,1,0.50,0.50,0.50,0.50,NA,0.50,NA,NA,NA,NA,NA,,,
Patient History,Data Collection,2,3,0.50,0.50,0.50,0.50,NA,0.50,NA,NA,NA,NA,NA,,,
Patient History,Interval history/Consultation,4,4,0.50,0.50,0.50,0.50,NA,0.50,NA,NA,NA,NA,NA,,,
Patient History,Patient History,5,5,0.50,0.50,0.50,0.50,NA,0.50,NA,NA,NA,NA,NA,,,
Pharmacological Treatment/Mgmt,Medication Consultation,5,5,0.50,0.50,0.50,0.50,0.50,NA,0.50,NA,NA,NA,NA,,,
Pharmacological Treatment/Mgmt,Orders/scripts,2,2,0.50,0.50,0.50,NA,0.50,NA,NA,NA,NA,NA,NA,,,
Physical Exam,Foot Exam,2,2,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Physical Exam,Physical Exam,5,5,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Physical Exam,Problem Oriented Physical,2,10,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Physical Screening,Abdominal aortic aneurysm screening,5,5,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Physical Screening,Breast Cancer Screening,0,0,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Physical Screening,Colorectal Cancer Screening,1,1,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Physical Screening,Diabetes Screening,5,5,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Physical Screening,Lung Cancer Screening,5,5,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Physical Screening,Obesity Screening,5,5,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Physical Screening,Osteoporosis Screening,1,1,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Sensory Screening,Hearing Screening,1,1,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Sensory Screening,Vision Screening,1,1,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
<<end>>,,,,,,,,,,,,,,,,,
