_Category	Routine Service	Care Category	Service	freq	F2F	Doc	Physician
Anticipatory Guidance 	Well Child Visits-B	Preventive	Anticipatory Guidance (7)	7	5	1	1
Patient History	Well Child Visits-C	Preventive	Patient History (6)	6	5	1	1
Behavioral Health Screenings	Well Child Visits-C	Preventive	Developmental Screening (6)	6	5	1	1
Behavioral Health Screenings	Well Child Visits-C	Preventive	Developmental Surveillance (6)	6	5	1	1
Behavioral Health Screenings	Well Child Visits-C	Preventive	Psychosocial/Behavioral Surveillance (6)	6	5	1	1
Measurements	Well Child Visits-C	Preventive	length/height & weight (6)	6	5	1	1
Measurements	Well Child Visits-C	Preventive	BMI (6)	6		1	1
Measurements	Well Child Visits-C	Preventive	BP (6)	6		1	1
Physical Exam	Well Child Visits-C	Preventive	Physical Exam (6)	6	5	1	1
Sensory Screening	Well Child Visits-C	Preventive	Vision (6)	6	5	1	1
Sensory Screening	Well Child Visits-C	Preventive	Hearing (6)	6	2	1	1
Physical Screening	Well Child Visits-C	Preventive	Obesity Screening	6	5	1	1
Immunization	Well Child Visits-C	Preventive	DTaP (1)	1	5	1	1
Immunization	Well Child Visits-C	Preventive	Polio (1)	1	3	1	1
Immunization	Well Child Visits-C	Preventive	Hib (6)	6	3	1	1
Immunization	Well Child Visits-C	Preventive	MMR (1)	1	3	1	1
Immunization	Well Child Visits-C	Preventive	VAR (1)	1	3	1	1
Immunization	Well Child Visits-C	Preventive	Flu (6)	6	3	1	1
Lab	Well Child Visits-C	Preventive	Anemia (6)	6	5	1	1
Lab	Well Child Visits-C	Preventive	Lead (5)	5	1	1	1
Lab	Well Child Visits-C	Preventive	Dyslipidemia (3)	3	1	1	1
Lab	Well Child Visits-C	Preventive	TB*	0	1	1	1
Oral Health	Well Child Visits-C	Preventive	Identify Dental Home (2)	2	5	1	1
Oral Health	Well Child Visits-C	Preventive	Fluoride Supplementation (6)	6	1	1	1
Anticipatory Guidance 	Well Child Visits-C	Preventive	Anticipatory Guidance (6)	6	5	1	1
Anticipatory Guidance 	Well Child Visits-C	Preventive	Anticipatory Guidance 		5	1	1
Anticipatory Guidance 	Well Child Visits-D	Preventive	Anticipatory Guidance 	11		1	1
Patient History	Well Child Visits-D	Preventive	Patient History (11)	11	5	1	1
Behavioral Health Screenings	Well Child Visits-C	Preventive	Developmental Screening (6)	11	5	1	1
Behavioral Health Screenings	Well Child Visits-D	Preventive	Developmental Surveillance (11)	11	5	1	1
Behavioral Health Screenings	Well Child Visits-D	Preventive	Psychosocial/Behavioral Surveillance (11)	11	3	1	1
Behavioral Health Screenings	Well Child Visits-D	Preventive	Tobacco/Alcohol/Drug Use (11)	11	3	1	1
Behavioral Health Screenings	Well Child Visits-D	Preventive	Depression (10 	10	4	1	1
Measurements	Well Child Visits-D	Preventive	length/height & weight (11)	11	5	1	1
Measurements	Well Child Visits-D	Preventive	BMI (11)	11		1	1
Measurements	Well Child Visits-D	Preventive	BP (11)	11		1	1
Physical Exam	Well Child Visits-D	Preventive	Physical Exam (11)	11	5	1	1
Sensory Screening	Well Child Visits-D	Preventive	Vision (11)	11	5	1	1
Sensory Screening	Well Child Visits-D	Preventive	Hearing (3)	3	2	1	1
Physical Screening	Well Child Visits-D	Preventive	Obesity Screening	11	5	1	1
Physical Screening	Well Child Visits-D	Preventive	HIV Screening	11	2	1	1
Physical Screening	Well Child Visits-D	Preventive	Gonorrhea Screening	11	1	1	1
Physical Screening	Well Child Visits-D	Preventive	Chlamydia Screening	11	1	1	1
Immunization	Well Child Visits-D	Preventive	Flu (11)	11	5	1	1
Immunization	Well Child Visits-D	Preventive	Meningococcal (2)	2	3	1	1
Immunization	Well Child Visits-D	Preventive	Tdap (1)	1	3	1	1
Immunization	Well Child Visits-D	Preventive	HPV (3)	3	3	1	1
Lab	Well Child Visits-D	Preventive	Anemia (11)	11	5	1	1
Lab	Well Child Visits-D	Preventive	Dyslipidemia (6)	6	1	1	1
Lab	Well Child Visits-D	Preventive	TB*	0	1	1	1
Lab	Well Child Visits-D	Preventive	STI (11)	11	0	1	1
Lab	Well Child Visits-D	Preventive	HIV (8)	8	1	1	1
Oral Health	Well Child Visits-D	Preventive	Fluoride Supplementation (6)	6	5	1	1
Anticipatory Guidance 	Well Child Visits-D	Preventive	Anticipatory Guidance (11)	11	5	1	1
Patient History	Adult Wellness Visits-A	Preventive	Patient History	1	5	1	1
Behavioral Health Screenings	Adult Wellness Visits-A	Preventive	Behavioral Health Screenings	2	5	1	1
Behavioral Health Screenings	Adult Wellness Visits-A	Preventive	Behavioral Health Screenings	3		1	1
Behavioral Health Screenings	Adult Wellness Visits-A	Preventive	Alcohol Misuse Screening	1	2	1	1
Behavioral Health Screenings	Adult Wellness Visits-A	Preventive	Depression Screening	1	2	1	1
Behavioral Health Screenings	Adult Wellness Visits-A	Preventive	Intimate partner violence screening	1	2	1	1
Measurements	Adult Wellness Visits-A	Preventive	length/height & weight 	1	5	1	1
Measurements	Adult Wellness Visits-A	Preventive	BMI	1		1	1
Measurements	Adult Wellness Visits-A	Preventive	BP 	1		1	1
Physical Exam	Adult Wellness Visits-A	Preventive	Physical Exam 	1	5	1	1
Sensory Screening	Adult Wellness Visits-A	Preventive	Vision 	1	5	1	1
Sensory Screening	Adult Wellness Visits-A	Preventive	Hearing	1	2	1	1
Physical Screening	Adult Wellness Visits-A	Preventive	Physical Screening	3.3	5	1	1
Physical Screening	Adult Wellness Visits-A	Preventive	Physical Screening	5.3		1	1
Physical Screening	Adult Wellness Visits-A	Preventive	Physical Screening	4.8		1	1
Physical Screening	Adult Wellness Visits-A	Preventive	Physical Screening	5.8		1	1
Physical Screening	Adult Wellness Visits-A	Preventive	Obesity Screening	1	2	1	1
Physical Screening	Adult Wellness Visits-A	Preventive	Cervical Cancer Screening	0.3	5	1	1
Physical Screening	Adult Wellness Visits-A	Preventive	Chlamydia Screening	1		1	1
Physical Screening	Adult Wellness Visits-A	Preventive	Gonorrhea Screening	1		1	1
Physical Screening	Adult Wellness Visits-A	Preventive	Colorectal Cancer Screening	1	1	1	1
Physical Screening	Adult Wellness Visits-A	Preventive	Breast Cancer Screening	0.5		1	1
Physical Screening	Adult Wellness Visits-A	Preventive	Osteoporosis	1	1	1	1
Immunization	Adult Wellness Visits-A	Preventive	Immunization	1.2	5	1	1
Immunization	Adult Wellness Visits-A	Preventive	Immunization	1.2		1	1
Immunization	Adult Wellness Visits-A	Preventive	Influenza	1	3	1	1
Immunization	Adult Wellness Visits-A	Preventive	VAR	0	3	1	1
Immunization	Adult Wellness Visits-A	Preventive	Td/Tdap	0.1	3	1	1
Immunization	Adult Wellness Visits-A	Preventive	MMR	0	3	1	1
Immunization	Adult Wellness Visits-A	Preventive	HZV	0	3	1	1
Lab	Adult Wellness Visits-A	Preventive	Lab	0	5	1	1
Lab	Adult Wellness Visits-A	Preventive	Lab	0.1		1	1
Lab	Adult Wellness Visits-A	Preventive	HIV Screening	0	1	1	1
Lab	Adult Wellness Visits-A	Preventive	Hepititis C Screening	0.1	1	1	1
Oral Health	Adult Wellness Visits-A	Preventive	Identify Dental Home 	1	5	1	1
Counseling	Adult Wellness Visits-A	Preventive	Counseling	3	5	1	1
Counseling	Adult Wellness Visits-A	Preventive	Counseling	4		1	1
Counseling	Adult Wellness Visits-A	Preventive	Alcohol Misuse Counseling	1	1	1	1
Counseling	Adult Wellness Visits-A	Preventive	Tobacco Use Prevention and Counseling 	1	1	1	1
Counseling	Adult Wellness Visits-A	Preventive	Sexually Transmitted Infections Counseling	1	1	1	1
Counseling	Adult Wellness Visits-A	Preventive	Skin Cancer Behavioral Counseling	1	1	1	1
Visit wrap-up/care planning	Adult Wellness Visits-A	Preventive	Visit wrap-up/care planning	1	5	1	1
Patient History	Adult Wellness Visits-B	Preventive	Patient History	1	5	1	1
Counseling	Adult Wellness Visits-A	Preventive	Alcohol Misuse Counseling	1	1	1	1
Behavioral Health Screenings	Adult Wellness Visits-B	Preventive	Alcohol Misuse Screening	1	5	1	1
Counseling	Adult Wellness Visits-A	Preventive	Counseling	4		1	1
Behavioral Health Screenings	Adult Wellness Visits-B	Preventive	Depression Screening	1	1	1	1
Measurements	Adult Wellness Visits-B	Preventive	length/height & weight 	1	5	1	1
Measurements	Adult Wellness Visits-B	Preventive	BMI	1		1	1
Measurements	Adult Wellness Visits-B	Preventive	BP 	1		1	1
Physical Exam	Adult Wellness Visits-B	Preventive	Physical Exam 	1	5	1	1
Sensory Screening	Adult Wellness Visits-B	Preventive	Vision 	1	5	1	1
Sensory Screening	Adult Wellness Visits-B	Preventive	Hearing	1	1	1	1
Physical Screening	Adult Wellness Visits-B	Preventive	Physical Screening	3.5	5	1	1
Physical Screening	Adult Wellness Visits-B	Preventive	Physical Screening	2		1	1
Physical Screening	Adult Wellness Visits-B	Preventive	Physical Screening	1		1	1
Physical Screening	Adult Wellness Visits-B	Preventive	Obesity Screening	1	1	1	1
Physical Screening	Adult Wellness Visits-B	Preventive	Colorectal Cancer Screening	1	1	1	1
Physical Screening	Adult Wellness Visits-B	Preventive	Breast Cancer Screening	0.5	0	1	1
Physical Screening	Adult Wellness Visits-B	Preventive	Osteoporosis	1	1	1	1
Immunization	Adult Wellness Visits-B	Preventive	Influenza	1	5	1	1
Immunization	Adult Wellness Visits-B	Preventive	Td/Tdap	0.1	3	1	1
Immunization	Adult Wellness Visits-B	Preventive	VAR	0	3	1	1
Immunization	Adult Wellness Visits-B	Preventive	HZV	0	3	1	1
Lab	Adult Wellness Visits-B	Preventive	Lab	0	5	1	1
Lab	Adult Wellness Visits-B	Preventive	Lab	0.1		1	1
Lab	Adult Wellness Visits-B	Preventive	Hepititis C Screening	0.1	1	1	1
Oral Health	Adult Wellness Visits-B	Preventive	Identify Dental Home 	1	5	1	1
Counseling	Adult Wellness Visits-B	Preventive	Advanced Care Planning	1	5	1	1
Visit wrap-up/care planning	Adult Wellness Visits-B	Preventive	Visit wrap-up/care planning	0	5	1	1
Tobacco Use 	Tobacco Use 	Preventive	Abdominal aortic aneurysm screening	1	5	1	1
Tobacco Use 	Tobacco Use 	Preventive	Lung Cancer Screening		5	1	1
Tobacco Use 	Tobacco Use 	Preventive	Tobacco Use Counseling		5	1	1
Obesity	Obesity	Preventive	Obesity			1	1
Diabetes Screening	Diabetes Screening	Preventive	Diabetes Screening	0.3	5	1	1
Healthy Diet and Physical Activity Counseling 	Healthy Diet and Physical Activity Counseling 	Preventive	Healthy Diet and Physical Activity Counseling 		5	1	1
Women's specific	Women's specific	Preventive	BRCA risk assessment and genetic counseling		5	1	1
Women's specific	Women's specific	Preventive	Breast Cancer Preventive Medications		5	1	1
Women's specific	Women's specific	Preventive	Breast Cancer Screening	0.5	5	1	1
Women's specific	Women's specific	Preventive	Cervical Cancer Screening	0.3	5	1	1
Women's specific	Women's specific	Preventive	Chlamydia Screening		5	1	1
Women's specific	Women's specific	Preventive	Folic Acid Supplementation	1	5	1	1
Women's specific	Women's specific	Preventive	Gonorrhea Screening	1	5	1	1
Women's specific	Women's specific	Preventive	Intimate partner violence screening	1	5	1	1
Women's specific	Women's specific	Preventive	Osteoporosis	0.1	5	1	1
Pregnancy	Pregnancy	Preventive	Bacteriuria Screening		5	1	1
Pregnancy	Pregnancy	Preventive	Breast Feeding Interventions		5	1	1
Pregnancy	Pregnancy	Preventive	Post Partum Depression Screening		5	1	1
Pregnancy	Pregnancy	Preventive	Gestational Diabetes Screening		5	1	1
Pregnancy	Pregnancy	Preventive	Hepatitis B Screening		5	1	1
Pregnancy	Pregnancy	Preventive	HIV Screening		5	1	1
Pregnancy	Pregnancy	Preventive	Preeclampsia Prevention		5	1	1
Pregnancy	Pregnancy	Preventive	Preeclampsia Screening		5	1	1
Pregnancy	Pregnancy	Preventive	Rh Incompatibility Screening: First Visit		5	1	1
Pregnancy	Pregnancy	Preventive	Rh Incompatibility Screening: 24-28 weeks		5	1	1
Pregnancy	Pregnancy	Preventive	Syphillis Screening		5	1	1
Measurements	Diabetes	Chronic	BP	2	3	1	1
Measurements	Diabetes	Chronic	Weight	2	2	1	1
Measurements	Diabetes	Chronic	Temp	2	1	1	1
Patient History	Diabetes	Chronic	Data Collection	2	3	1	1
Patient History	Diabetes	Chronic	Interval history/Consultation	2	4	1	1
Physical Exam	Diabetes	Chronic	Problem Oriented Physical	2	10	1	1
Physical Exam	Diabetes	Chronic	Foot Exam	1	2	1	1
Lab	Diabetes	Chronic	Orders	2	2	1	1
Lab	Diabetes	Chronic	"Results Consultation: CHD Risk Assessment, A1c, Microalbuminuria"	2	5	1	1
Pharmacological Treatment/Mgmt	Diabetes	Chronic	Orders/scripts	2	2	1	1
Pharmacological Treatment/Mgmt	Diabetes	Chronic	Consultation: Aspirin	1	2	1	1
Pharmacological Treatment/Mgmt	Diabetes	Chronic	"Consultation: Insulin, oral agents"	2	5	1	1
Education	Diabetes	Chronic	Medical Nutrition Therapy (MNT)	2	30	1	1
Education	Diabetes	Chronic	Diabetes Self Management Education/Support	1	30	1	1
Education	Diabetes	Chronic	"Control: Weight, Hypertension, Hyperlipidemia, Smoking"	2	2	1	1
Visit wrap-up/care planning	Diabetes	Chronic	Visit wrap-up/care planning	2	2	1	1
Measurements	Hypertension	Chronic	BP	2	3	1	1
Measurements	Hypertension	Chronic	Weight	2	2	1	1
Measurements	Hypertension	Chronic	Temp	2	1	1	1
Patient History	Hypertension	Chronic	Data Collection	2	3	1	1
Patient History	Hypertension	Chronic	Interval history/Consultation	2	4	1	1
Physical Exam	Hypertension	Chronic	Problem Oriented Physical	2	10	1	1
Lab	Hypertension	Chronic	Orders:	2	2	1	1
Lab	Hypertension	Chronic	Results Consultation:	2	5	1	1
Pharmacological Treatment/Mgmt	Hypertension	Chronic	Orders/scripts:	2	2	1	1
Pharmacological Treatment/Mgmt	Hypertension	Chronic	Consultation:	1	5	1	1
Education	Hypertension	Chronic	Diet/Exercise	1	10	1	1
Visit wrap-up/care planning	Hypertension	Chronic	Visit wrap-up/care planning	2	2	1	1
Measurements	Depression	Chronic	BP	4	3	1	1
Measurements	Depression	Chronic	Weight	4	2	1	1
Measurements	Depression	Chronic	Temp	4	1	1	1
Patient History	Depression	Chronic	Data Collection	4	3	1	1
Patient History	Depression	Chronic	Interval history/Consultation	4	10	1	1
Physical Exam	Depression	Chronic	Problem Oriented Physical	4	5	1	1
Lab	Depression	Chronic	Orders:	1	2	1	1
Lab	Depression	Chronic	Results Consultation:	1	5	1	1
Pharmacological Treatment/Mgmt	Depression	Chronic	Orders/scripts:	4	2	1	1
Pharmacological Treatment/Mgmt	Depression	Chronic	Consultation:	4	5	1	1
Counseling	Depression	Chronic	Psychotherapy	12	50	1	1
Visit wrap-up/care planning	Depression	Chronic	Visit wrap-up/care planning	4	2	1	1
Measurements	Asthma	Chronic	BP	4	3	1	1
Measurements	Asthma	Chronic	Weight	4	2	1	1
Measurements	Asthma	Chronic	Temp	4	1	1	1
Patient History	Asthma	Chronic	Data Collection	4	3	1	1
Patient History	Asthma	Chronic	Interval history/Consultation	4	4	1	1
Physical Exam	Asthma	Chronic	Problem Oriented Physical	4	5	1	1
Lab	Asthma	Chronic	Orders:	4	2	1	1
Lab	Asthma	Chronic	Results Consultation:	4	5	1	1
Pharmacological Treatment/Mgmt	Asthma	Chronic	Orders/scripts:	4	2	1	1
Pharmacological Treatment/Mgmt	Asthma	Chronic	Consultation:	4	5	1	1
Education	Asthma	Chronic	Inhaler use	4	5	1	1
Education	Asthma	Chronic	Asthma action plan	4	5	1	1
Visit wrap-up/care planning	Asthma	Chronic	Visit wrap-up/care planning	2	2	1	1
Measurements	Hyperlipidemia	Chronic	BP	3	3	1	1
Measurements	Hyperlipidemia	Chronic	Weight	3	2	1	1
Measurements	Hyperlipidemia	Chronic	Temp	3	1	1	1
Patient History	Hyperlipidemia	Chronic	Data Collection	3	3	1	1
Patient History	Hyperlipidemia	Chronic	Interval history/Consultation	3	4	1	1
Physical Exam	Hyperlipidemia	Chronic	Problem Oriented Physical	3	5	1	1
Lab	Hyperlipidemia	Chronic	Orders:	3	2	1	1
Lab	Hyperlipidemia	Chronic	Results Consultation:	3	5	1	1
Pharmacological Treatment/Mgmt	Hyperlipidemia	Chronic	Orders/scripts:	3	2	1	1
Pharmacological Treatment/Mgmt	Hyperlipidemia	Chronic	Consultation:	3	5	1	1
Education	Hyperlipidemia	Chronic	Dietary/Physical Activity Guidance	1	30	1	1
Measurements	Arthritis	Chronic	BP	3	3	1	1
Measurements	Arthritis	Chronic	Weight	3	2	1	1
Measurements	Arthritis	Chronic	Temp	3	1	1	1
Patient History	Arthritis	Chronic	Data Collection	3	3	1	1
Patient History	Arthritis	Chronic	Interval history/Consultation	3	4	1	1
Physical Exam	Arthritis	Chronic	Problem Oriented Physical	3	10	1	1
Lab	Arthritis	Chronic	Orders:	3	2	1	1
Lab	Arthritis	Chronic	Results Consultation:	3	5	1	1
Pharmacological Treatment/Mgmt	Arthritis	Chronic	Orders/scripts:	3	2	1	1
Pharmacological Treatment/Mgmt	Arthritis	Chronic	Consultation:	3	5	1	1
Education	Arthritis	Chronic	Physical Activity	1	30	1	1
Visit wrap-up/care planning	Arthritis	Chronic	Visit wrap-up/care planning	2	2	1	1
Measurements	Anxiety	Chronic	BP	2	3	1	1
Measurements	Anxiety	Chronic	Weight	2	2	1	1
Measurements	Anxiety	Chronic	Temp	2	1	1	1
Patient History	Anxiety	Chronic	Data Collection	2	3	1	1
Patient History	Anxiety	Chronic	Interval history/Consultation	2	4	1	1
Physical Exam	Anxiety	Chronic	Problem Oriented Physical	2	10	1	1
Lab	Anxiety	Chronic	Orders:	2	2	1	1
Lab	Anxiety	Chronic	Results Consultation:	2	5	1	1
Pharmacological Treatment/Mgmt	Anxiety	Chronic	Orders/scripts:	2	2	1	1
Pharmacological Treatment/Mgmt	Anxiety	Chronic	Consultation:	2	5	1	1
Counseling	Anxiety	Chronic	CBT	12	50	1	1
Visit wrap-up/care planning	Anxiety	Chronic	Visit wrap-up/care planning	2	2	1	1
Measurements	Osteoporosis	Chronic	BP	1	3	1	1
Measurements	Osteoporosis	Chronic	Weight	1	2	1	1
Measurements	Osteoporosis	Chronic	Temp	1	1	1	1
Patient History	Osteoporosis	Chronic	Data Collection	1	3	1	1
Patient History	Osteoporosis	Chronic	Interval history/Consultation	1	4	1	1
Physical Exam	Osteoporosis	Chronic	Problem Oriented Physical	1	10	1	1
Lab	Osteoporosis	Chronic	Orders:	1	2	1	1
Lab	Osteoporosis	Chronic	Results Consultation:	1	5	1	1
Pharmacological Treatment/Mgmt	Osteoporosis	Chronic	Orders/scripts:	1	2	1	1
Pharmacological Treatment/Mgmt	Osteoporosis	Chronic	Consultation:	1	5	1	1
Education	Osteoporosis	Chronic	Diet/Exercise Guidance	1	15	1	1
Visit wrap-up/care planning	Osteoporosis	Chronic	Visit wrap-up/care planning	1	2	1	1
Measurements	COPD	Chronic	BP	1	3	1	1
Measurements	COPD	Chronic	Weight	1	2	1	1
Measurements	COPD	Chronic	Temp	1	1	1	1
Patient History	COPD	Chronic	Data Collection	1	3	1	1
Patient History	COPD	Chronic	Interval history/Consultation	1	4	1	1
Physical Exam	COPD	Chronic	Problem Oriented Physical	1	10	1	1
Lab	COPD	Chronic	Orders:	1	2	1	1
Lab	COPD	Chronic	Results Consultation:	1	5	1	1
Pharmacological Treatment/Mgmt	COPD	Chronic	Orders/scripts:	1	2	1	1
Pharmacological Treatment/Mgmt	COPD	Chronic	Consultation:	1	5	1	1
Education	COPD	Chronic	Exercise & COPD Management	1	15	1	1
Visit wrap-up/care planning	COPD	Chronic	Visit wrap-up/care planning	1	2	1	1
Measurements	CAD	Chronic	BP	1	3	1	1
Measurements	CAD	Chronic	Weight	1	2	1	1
Measurements	CAD	Chronic	Temp	1	1	1	1
Patient History	CAD	Chronic	Data Collection	1	3	1	1
Patient History	CAD	Chronic	Interval history/Consultation	1	4	1	1
Physical Exam	CAD	Chronic	Problem Oriented Physical	1	10	1	1
Lab	CAD	Chronic	Orders:	1	2	1	1
Lab	CAD	Chronic	Results Consultation:	1	5	1	1
Pharmacological Treatment/Mgmt	CAD	Chronic	Orders/scripts:	1	2	1	1
Pharmacological Treatment/Mgmt	CAD	Chronic	Consultation:	1	5	1	1
Education	CAD	Chronic	Diet/Exercise Guidance	1	30	1	1
Visit wrap-up/care planning	CAD	Chronic	Visit wrap-up/care planning	1	2	1	1
Measurements	Abdominal pain	Acute	BP	1	2	1	1
Measurements	Abdominal pain	Acute	Weight	1	2	1	1
Measurements	Abdominal pain	Acute	Temp	1	2	1	1
Patient History	Abdominal pain	Acute	Data Collection	1	2	1	1
Physical Exam	Abdominal pain	Acute	Problem Oriented Physical	1	2	1	1
Lab	Abdominal pain	Acute	Orders	1	2	1	1
Lab	Abdominal pain	Acute	Results Consultation:	1	2	1	1
Pharmacological Treatment/Mgmt	Abdominal pain	Acute	Orders/scripts	1	2	1	1
Visit wrap-up/care planning	Abdominal pain	Acute	Visit wrap-up/care planning	1	2	1	1
Measurements	Chest pain	Acute	BP	1	2	1	1
Measurements	Chest pain	Acute	Weight	1	2	1	1
Measurements	Chest pain	Acute	Temp	1	2	1	1
Patient History	Chest pain	Acute	Data Collection	1	2	1	1
Physical Exam	Chest pain	Acute	Problem Oriented Physical	1	2	1	1
Lab	Chest pain	Acute	Orders	1	2	1	1
Lab	Chest pain	Acute	Results Consultation:	1	2	1	1
Pharmacological Treatment/Mgmt	Chest pain	Acute	Orders/scripts	1	2	1	1
Visit wrap-up/care planning	Chest pain	Acute	Visit wrap-up/care planning	1	2	1	1
Measurements	Cough and bronchitis	Acute	BP	1	2	1	1
Measurements	Cough and bronchitis	Acute	Weight	1	2	1	1
Measurements	Cough and bronchitis	Acute	Temp	1	2	1	1
Patient History	Cough and bronchitis	Acute	Data Collection	1	2	1	1
Physical Exam	Cough and bronchitis	Acute	Problem Oriented Physical	1	2	1	1
Lab	Cough and bronchitis	Acute	Orders	1	2	1	1
Lab	Cough and bronchitis	Acute	Results Consultation:	1	2	1	1
Pharmacological Treatment/Mgmt	Cough and bronchitis	Acute	Orders/scripts	1	2	1	1
Visit wrap-up/care planning	Cough and bronchitis	Acute	Visit wrap-up/care planning	1	2	1	1
Measurements	Fever	Acute	BP	1	2	1	1
Measurements	Fever	Acute	Weight	1	2	1	1
Measurements	Fever	Acute	Temp	1	2	1	1
Patient History	Fever	Acute	Data Collection	1	2	1	1
Physical Exam	Fever	Acute	Problem Oriented Physical	1	2	1	1
Lab	Fever	Acute	Orders	1	2	1	1
Lab	Fever	Acute	Results Consultation:	1	2	1	1
Pharmacological Treatment/Mgmt	Fever	Acute	Orders/scripts	1	2	1	1
Visit wrap-up/care planning	Fever	Acute	Visit wrap-up/care planning	1	2	1	1
Measurements	Headache	Acute	BP	1	2	1	1
Measurements	Headache	Acute	Weight	1	2	1	1
Measurements	Headache	Acute	Temp	1	2	1	1
Patient History	Headache	Acute	Data Collection	1	2	1	1
Physical Exam	Headache	Acute	Problem Oriented Physical	1	2	1	1
Lab	Headache	Acute	Orders	1	2	1	1
Lab	Headache	Acute	Results Consultation:	1	2	1	1
Pharmacological Treatment/Mgmt	Headache	Acute	Orders/scripts	1	2	1	1
Visit wrap-up/care planning	Headache	Acute	Visit wrap-up/care planning	1	2	1	1
